sequence_id,start_frame,end_frame,start_time,end_time,duration
396,102377,103140,1707.991 sec,1720.721 sec,12.729 sec
397,103140,103250,1720.721 sec,1722.556 sec,1.835 sec
398,103250,103402,1722.556 sec,1725.092 sec,2.536 sec
399,103402,103720,1725.092 sec,1730.397 sec,5.305 sec
400,103720,103890,1730.397 sec,1733.233 sec,2.836 sec
401,103890,104722,1733.233 sec,1747.114 sec,13.881 sec
402,104722,104892,1747.114 sec,1749.950 sec,2.836 sec
403,104892,105220,1749.950 sec,1755.422 sec,5.472 sec
404,105220,105382,1755.422 sec,1758.125 sec,2.703 sec
405,105382,105707,1758.125 sec,1763.547 sec,5.422 sec
406,105707,105947,1763.547 sec,1767.551 sec,4.004 sec
407,105947,106120,1767.551 sec,1770.437 sec,2.886 sec
408,106120,106472,1770.437 sec,1776.310 sec,5.873 sec
409,106472,106550,1776.310 sec,1777.611 sec,1.301 sec
410,106550,106790,1777.611 sec,1781.615 sec,4.004 sec
411,106790,107005,1781.615 sec,1785.202 sec,3.587 sec
412,107005,107625,1785.202 sec,1795.546 sec,10.344 sec
413,107625,107807,1795.546 sec,1798.582 sec,3.036 sec
414,107807,108147,1798.582 sec,1804.254 sec,5.672 sec
415,108147,108802,1804.254 sec,1815.182 sec,10.928 sec
416,108802,108955,1815.182 sec,1817.734 sec,2.553 sec
417,108955,110017,1817.734 sec,1835.452 sec,17.718 sec
418,110017,110205,1835.452 sec,1838.589 sec,3.136 sec
419,110205,110520,1838.589 sec,1843.844 sec,5.255 sec
420,110520,110747,1843.844 sec,1847.631 sec,3.787 sec
421,110747,110892,1847.631 sec,1850.050 sec,2.419 sec
422,110892,110977,1850.050 sec,1851.468 sec,1.418 sec
423,110977,111222,1851.468 sec,1855.556 sec,4.087 sec
424,111222,111290,1855.556 sec,1856.690 sec,1.134 sec
425,111290,111639,1856.690 sec,1862.513 sec,5.822 sec
426,111639,112289,1862.513 sec,1873.357 sec,10.844 sec
427,112289,112439,1873.357 sec,1875.859 sec,2.503 sec
428,112439,112576,1875.859 sec,1878.145 sec,2.286 sec
429,112576,112671,1878.145 sec,1879.730 sec,1.585 sec
430,112671,113176,1879.730 sec,1888.155 sec,8.425 sec
431,113176,113269,1888.155 sec,1889.706 sec,1.552 sec
432,113269,113377,1889.706 sec,1891.508 sec,1.802 sec
433,113377,113561,1891.508 sec,1894.578 sec,3.070 sec
434,113561,113671,1894.578 sec,1896.413 sec,1.835 sec
435,113671,114061,1896.413 sec,1902.920 sec,6.507 sec
436,114061,114221,1902.920 sec,1905.589 sec,2.669 sec
437,114221,114866,1905.589 sec,1916.350 sec,10.761 sec
438,114866,115751,1916.350 sec,1931.114 sec,14.765 sec
439,115751,116266,1931.114 sec,1939.706 sec,8.592 sec
440,116266,116417,1939.706 sec,1942.226 sec,2.519 sec
441,116417,116511,1942.226 sec,1943.794 sec,1.568 sec
442,116511,116577,1943.794 sec,1944.895 sec,1.101 sec
443,116577,116831,1944.895 sec,1949.132 sec,4.238 sec
444,116831,116929,1949.132 sec,1950.767 sec,1.635 sec
445,116929,118811,1950.767 sec,1982.165 sec,31.398 sec
446,118811,119119,1982.165 sec,1987.304 sec,5.138 sec
447,119119,119311,1987.304 sec,1990.507 sec,3.203 sec
448,119311,120376,1990.507 sec,2008.275 sec,17.768 sec
449,120376,120496,2008.275 sec,2010.277 sec,2.002 sec
450,120496,120999,2010.277 sec,2018.669 sec,8.392 sec
451,120999,121466,2018.669 sec,2026.460 sec,7.791 sec
452,121466,121536,2026.460 sec,2027.628 sec,1.168 sec
453,121536,121589,2027.628 sec,2028.512 sec,0.884 sec
454,121589,121684,2028.512 sec,2030.097 sec,1.585 sec
455,121684,121759,2030.097 sec,2031.348 sec,1.251 sec
456,121759,121824,2031.348 sec,2032.432 sec,1.084 sec
457,121824,122076,2032.432 sec,2036.637 sec,4.204 sec
458,122076,122106,2036.637 sec,2037.137 sec,0.501 sec
459,122106,122276,2037.137 sec,2039.973 sec,2.836 sec
460,122276,122356,2039.973 sec,2041.308 sec,1.335 sec
461,122356,122409,2041.308 sec,2042.192 sec,0.884 sec
462,122409,122431,2042.192 sec,2042.559 sec,0.367 sec
463,122431,122466,2042.559 sec,2043.143 sec,0.584 sec
464,122466,122526,2043.143 sec,2044.144 sec,1.001 sec
465,122526,122714,2044.144 sec,2047.281 sec,3.136 sec
466,122714,122816,2047.281 sec,2048.982 sec,1.702 sec
467,122816,122886,2048.982 sec,2050.150 sec,1.168 sec
468,122886,123256,2050.150 sec,2056.323 sec,6.173 sec
469,123256,123426,2056.323 sec,2059.159 sec,2.836 sec
470,123426,123644,2059.159 sec,2062.796 sec,3.637 sec
471,123644,124044,2062.796 sec,2069.469 sec,6.673 sec
472,124044,124162,2069.469 sec,2071.438 sec,1.969 sec
473,124162,124369,2071.438 sec,2074.892 sec,3.453 sec
474,124369,124716,2074.892 sec,2080.681 sec,5.789 sec
475,124716,124944,2080.681 sec,2084.484 sec,3.804 sec
476,124944,125179,2084.484 sec,2088.405 sec,3.921 sec
477,125179,125724,2088.405 sec,2097.497 sec,9.092 sec
478,125724,125886,2097.497 sec,2100.200 sec,2.703 sec
479,125886,126299,2100.200 sec,2107.090 sec,6.890 sec
480,126299,126529,2107.090 sec,2110.928 sec,3.837 sec
481,126529,126674,2110.928 sec,2113.347 sec,2.419 sec
482,126674,126816,2113.347 sec,2115.716 sec,2.369 sec
483,126816,127019,2115.716 sec,2119.102 sec,3.387 sec
484,127019,127316,2119.102 sec,2124.057 sec,4.955 sec
485,127316,127414,2124.057 sec,2125.692 sec,1.635 sec
486,127414,127479,2125.692 sec,2126.777 sec,1.084 sec
487,127479,127654,2126.777 sec,2129.696 sec,2.920 sec
488,127654,127704,2129.696 sec,2130.531 sec,0.834 sec
489,127704,128011,2130.531 sec,2135.652 sec,5.122 sec
490,128011,128169,2135.652 sec,2138.288 sec,2.636 sec
491,128169,128534,2138.288 sec,2144.378 sec,6.089 sec
492,128534,128659,2144.378 sec,2146.463 sec,2.085 sec
493,128659,129279,2146.463 sec,2156.807 sec,10.344 sec
494,129279,130039,2156.807 sec,2169.486 sec,12.679 sec
495,130039,130241,2169.486 sec,2172.856 sec,3.370 sec
496,130241,130789,2172.856 sec,2181.999 sec,9.142 sec
497,130789,131254,2181.999 sec,2189.756 sec,7.758 sec
498,131254,131549,2189.756 sec,2194.678 sec,4.922 sec
499,131549,132562,2194.678 sec,2211.578 sec,16.900 sec
500,132562,132707,2211.578 sec,2213.997 sec,2.419 sec
501,132707,133054,2213.997 sec,2219.786 sec,5.789 sec
502,133054,133122,2219.786 sec,2220.921 sec,1.134 sec
503,133122,133194,2220.921 sec,2222.122 sec,1.201 sec
504,133194,133607,2222.122 sec,2229.012 sec,6.890 sec
505,133607,134194,2229.012 sec,2238.805 sec,9.793 sec
506,134194,134962,2238.805 sec,2251.618 sec,12.813 sec
507,134962,135264,2251.618 sec,2256.657 sec,5.038 sec
508,135264,135452,2256.657 sec,2259.793 sec,3.136 sec
509,135452,135672,2259.793 sec,2263.463 sec,3.670 sec
510,135672,135714,2263.463 sec,2264.164 sec,0.701 sec
511,135714,135782,2264.164 sec,2265.299 sec,1.134 sec
512,135782,135844,2265.299 sec,2266.333 sec,1.034 sec
513,135844,136002,2266.333 sec,2268.969 sec,2.636 sec
514,136002,136834,2268.969 sec,2282.850 sec,13.881 sec
515,136834,136937,2282.850 sec,2284.568 sec,1.718 sec
516,136937,137057,2284.568 sec,2286.570 sec,2.002 sec
517,137057,137502,2286.570 sec,2293.994 sec,7.424 sec
518,137502,137594,2293.994 sec,2295.529 sec,1.535 sec
519,137594,138022,2295.529 sec,2302.669 sec,7.140 sec
520,138022,138147,2302.669 sec,2304.755 sec,2.085 sec
521,138147,138222,2304.755 sec,2306.006 sec,1.251 sec
522,138222,138262,2306.006 sec,2306.673 sec,0.667 sec
523,138262,138309,2306.673 sec,2307.457 sec,0.784 sec
524,138309,138679,2307.457 sec,2313.630 sec,6.173 sec
525,138679,138779,2313.630 sec,2315.299 sec,1.668 sec
526,138779,139012,2315.299 sec,2319.186 sec,3.887 sec
527,139012,139134,2319.186 sec,2321.221 sec,2.035 sec
528,139134,139264,2321.221 sec,2323.390 sec,2.169 sec
529,139264,139402,2323.390 sec,2325.692 sec,2.302 sec
530,139402,139517,2325.692 sec,2327.611 sec,1.919 sec
531,139517,139739,2327.611 sec,2331.315 sec,3.704 sec
532,139739,139887,2331.315 sec,2333.784 sec,2.469 sec
533,139887,141052,2333.784 sec,2353.220 sec,19.436 sec
534,141052,141194,2353.220 sec,2355.589 sec,2.369 sec
535,141194,141512,2355.589 sec,2360.894 sec,5.305 sec
536,141512,141659,2360.894 sec,2363.347 sec,2.452 sec
537,141659,141957,2363.347 sec,2368.318 sec,4.972 sec
538,141957,151176,2368.318 sec,2522.122 sec,153.804 sec
539,151176,151291,2522.122 sec,2524.041 sec,1.919 sec
540,151291,151393,2524.041 sec,2525.742 sec,1.702 sec
541,151393,151616,2525.742 sec,2529.463 sec,3.720 sec
542,151616,151721,2529.463 sec,2531.215 sec,1.752 sec
543,151721,151931,2531.215 sec,2534.718 sec,3.504 sec
544,151931,152066,2534.718 sec,2536.970 sec,2.252 sec
545,152066,152683,2536.970 sec,2547.264 sec,10.294 sec
546,152683,152936,2547.264 sec,2551.485 sec,4.221 sec
547,152936,153076,2551.485 sec,2553.820 sec,2.336 sec
548,153076,153568,2553.820 sec,2562.029 sec,8.208 sec
549,153568,153963,2562.029 sec,2568.619 sec,6.590 sec
550,153963,154053,2568.619 sec,2570.120 sec,1.502 sec
551,154053,154204,2570.120 sec,2572.639 sec,2.519 sec
552,154204,154292,2572.639 sec,2574.107 sec,1.468 sec
553,154292,155157,2574.107 sec,2588.539 sec,14.431 sec
554,155157,155292,2588.539 sec,2590.791 sec,2.252 sec
555,155292,155657,2590.791 sec,2596.880 sec,6.089 sec
556,155657,155797,2596.880 sec,2599.216 sec,2.336 sec
557,155797,156264,2599.216 sec,2607.007 sec,7.791 sec
558,156264,156427,2607.007 sec,2609.726 sec,2.719 sec
559,156427,157329,2609.726 sec,2624.775 sec,15.048 sec
560,157329,157969,2624.775 sec,2635.452 sec,10.677 sec
561,157969,158177,2635.452 sec,2638.922 sec,3.470 sec
562,158177,158504,2638.922 sec,2644.378 sec,5.455 sec
563,158504,159144,2644.378 sec,2655.055 sec,10.677 sec
564,159144,159302,2655.055 sec,2657.691 sec,2.636 sec
565,159302,159427,2657.691 sec,2659.776 sec,2.085 sec
566,159427,159579,2659.776 sec,2662.312 sec,2.536 sec
567,159579,159779,2662.312 sec,2665.649 sec,3.337 sec
568,159779,159924,2665.649 sec,2668.068 sec,2.419 sec
569,159924,160112,2668.068 sec,2671.205 sec,3.136 sec
570,160112,160332,2671.205 sec,2674.875 sec,3.670 sec
571,160332,160534,2674.875 sec,2678.245 sec,3.370 sec
572,160534,160684,2678.245 sec,2680.747 sec,2.503 sec
573,160684,160802,2680.747 sec,2682.716 sec,1.969 sec
574,160802,160889,2682.716 sec,2684.168 sec,1.451 sec
575,160889,160962,2684.168 sec,2685.385 sec,1.218 sec
576,160962,161112,2685.385 sec,2687.888 sec,2.503 sec
577,161112,161314,2687.888 sec,2691.258 sec,3.370 sec
578,161314,161579,2691.258 sec,2695.679 sec,4.421 sec
579,161579,163532,2695.679 sec,2728.262 sec,32.583 sec
580,163532,163609,2728.262 sec,2729.546 sec,1.285 sec
581,163609,163959,2729.546 sec,2735.385 sec,5.839 sec
582,163959,164097,2735.385 sec,2737.688 sec,2.302 sec
583,164097,165224,2737.688 sec,2756.490 sec,18.802 sec
584,165224,165332,2756.490 sec,2758.292 sec,1.802 sec
585,165332,166749,2758.292 sec,2781.932 sec,23.640 sec
586,166749,169292,2781.932 sec,2824.358 sec,42.426 sec
587,169292,169564,2824.358 sec,2828.896 sec,4.538 sec
588,169564,169747,2828.896 sec,2831.949 sec,3.053 sec
589,169747,169962,2831.949 sec,2835.536 sec,3.587 sec
590,169962,170792,2835.536 sec,2849.383 sec,13.847 sec
591,170792,173416,2849.383 sec,2893.160 sec,43.777 sec
592,173416,176306,2893.160 sec,2941.375 sec,48.215 sec
593,176306,176799,2941.375 sec,2949.600 sec,8.225 sec
594,176799,176939,2949.600 sec,2951.935 sec,2.336 sec
595,176939,177364,2951.935 sec,2959.026 sec,7.090 sec
596,177364,177644,2959.026 sec,2963.697 sec,4.671 sec
597,177644,179161,2963.697 sec,2989.006 sec,25.309 sec
598,179161,179911,2989.006 sec,3001.518 sec,12.513 sec
599,179911,181511,3001.518 sec,3028.212 sec,26.693 sec
600,181511,182191,3028.212 sec,3039.556 sec,11.345 sec
601,182191,183026,3039.556 sec,3053.487 sec,13.931 sec
602,183026,183241,3053.487 sec,3057.074 sec,3.587 sec
603,183241,183713,3057.074 sec,3064.948 sec,7.875 sec
604,183713,183878,3064.948 sec,3067.701 sec,2.753 sec
605,183878,184708,3067.701 sec,3081.548 sec,13.847 sec
606,184708,184843,3081.548 sec,3083.800 sec,2.252 sec
607,184843,185273,3083.800 sec,3090.974 sec,7.174 sec
608,185273,185768,3090.974 sec,3099.233 sec,8.258 sec
609,185768,185896,3099.233 sec,3101.368 sec,2.135 sec
610,185896,186051,3101.368 sec,3103.954 sec,2.586 sec
611,186051,186471,3103.954 sec,3110.961 sec,7.007 sec
612,186471,186556,3110.961 sec,3112.379 sec,1.418 sec
613,186556,186718,3112.379 sec,3115.082 sec,2.703 sec
614,186718,186843,3115.082 sec,3117.167 sec,2.085 sec
615,186843,187393,3117.167 sec,3126.343 sec,9.176 sec
616,187393,187526,3126.343 sec,3128.562 sec,2.219 sec
617,187526,187803,3128.562 sec,3133.183 sec,4.621 sec
618,187803,187901,3133.183 sec,3134.818 sec,1.635 sec
619,187901,188483,3134.818 sec,3144.528 sec,9.710 sec
620,188483,189406,3144.528 sec,3159.927 sec,15.399 sec
621,189406,189748,3159.927 sec,3165.632 sec,5.706 sec
622,189748,190244,3165.632 sec,3173.907 sec,8.275 sec
623,190244,191142,3173.907 sec,3188.889 sec,14.982 sec
624,191142,191222,3188.889 sec,3190.224 sec,1.335 sec
625,191222,191487,3190.224 sec,3194.645 sec,4.421 sec
626,191487,191579,3194.645 sec,3196.180 sec,1.535 sec
627,191579,192684,3196.180 sec,3214.615 sec,18.435 sec
628,192684,194774,3214.615 sec,3249.483 sec,34.868 sec
629,194774,195289,3249.483 sec,3258.075 sec,8.592 sec
630,195289,196219,3258.075 sec,3273.590 sec,15.516 sec
631,196219,196342,3273.590 sec,3275.642 sec,2.052 sec
632,196342,197247,3275.642 sec,3290.741 sec,15.098 sec
633,197247,197907,3290.741 sec,3301.752 sec,11.011 sec
634,197907,200514,3301.752 sec,3345.245 sec,43.493 sec
635,200514,201067,3345.245 sec,3354.471 sec,9.226 sec
636,201067,201162,3354.471 sec,3356.056 sec,1.585 sec
637,201162,201332,3356.056 sec,3358.892 sec,2.836 sec
638,201332,202382,3358.892 sec,3376.410 sec,17.518 sec
639,202382,202562,3376.410 sec,3379.413 sec,3.003 sec
640,202562,202759,3379.413 sec,3382.699 sec,3.287 sec
641,202759,202944,3382.699 sec,3385.786 sec,3.086 sec
642,202944,203024,3385.786 sec,3387.120 sec,1.335 sec
643,203024,203839,3387.120 sec,3400.717 sec,13.597 sec
644,203839,204517,3400.717 sec,3412.029 sec,11.311 sec
645,204517,204617,3412.029 sec,3413.697 sec,1.668 sec
646,204617,204717,3413.697 sec,3415.365 sec,1.668 sec
647,204717,204857,3415.365 sec,3417.701 sec,2.336 sec
648,204857,204929,3417.701 sec,3418.902 sec,1.201 sec
649,204929,205174,3418.902 sec,3422.990 sec,4.087 sec
650,205174,205212,3422.990 sec,3423.624 sec,0.634 sec
651,205212,205257,3423.624 sec,3424.374 sec,0.751 sec
652,205257,205297,3424.374 sec,3425.042 sec,0.667 sec
653,205297,205352,3425.042 sec,3425.959 sec,0.918 sec
654,205352,205774,3425.959 sec,3433.000 sec,7.040 sec
655,205774,205814,3433.000 sec,3433.667 sec,0.667 sec
656,205814,205852,3433.667 sec,3434.301 sec,0.634 sec
657,205852,206027,3434.301 sec,3437.221 sec,2.920 sec
658,206027,206069,3437.221 sec,3437.921 sec,0.701 sec
659,206069,206154,3437.921 sec,3439.339 sec,1.418 sec
660,206154,206584,3439.339 sec,3446.513 sec,7.174 sec
661,206584,206747,3446.513 sec,3449.233 sec,2.719 sec
662,206747,207017,3449.233 sec,3453.737 sec,4.505 sec
663,207017,207382,3453.737 sec,3459.826 sec,6.089 sec
664,207382,207574,3459.826 sec,3463.030 sec,3.203 sec
665,207574,207712,3463.030 sec,3465.332 sec,2.302 sec
666,207712,207934,3465.332 sec,3469.036 sec,3.704 sec
667,207934,208647,3469.036 sec,3480.931 sec,11.895 sec
668,208647,208749,3480.931 sec,3482.633 sec,1.702 sec
669,208749,209642,3482.633 sec,3497.531 sec,14.898 sec
670,209642,210119,3497.531 sec,3505.489 sec,7.958 sec
671,210119,214249,3505.489 sec,3574.391 sec,68.902 sec
672,214249,216488,3574.391 sec,3611.745 sec,37.354 sec
673,216488,216721,3611.745 sec,3615.632 sec,3.887 sec
674,216721,218258,3615.632 sec,3641.275 sec,25.642 sec
675,218258,218833,3641.275 sec,3650.868 sec,9.593 sec
676,218833,218963,3650.868 sec,3653.036 sec,2.169 sec
677,218963,219221,3653.036 sec,3657.341 sec,4.304 sec
678,219221,219298,3657.341 sec,3658.625 sec,1.285 sec
679,219298,219573,3658.625 sec,3663.213 sec,4.588 sec
680,219573,221283,3663.213 sec,3691.742 sec,28.529 sec
681,221283,221461,3691.742 sec,3694.711 sec,2.970 sec
682,221461,221613,3694.711 sec,3697.247 sec,2.536 sec
683,221613,221728,3697.247 sec,3699.166 sec,1.919 sec
684,221728,222116,3699.166 sec,3705.639 sec,6.473 sec
685,222116,222306,3705.639 sec,3708.809 sec,3.170 sec
686,222306,222493,3708.809 sec,3711.929 sec,3.120 sec
687,222493,222676,3711.929 sec,3714.982 sec,3.053 sec
688,222676,223428,3714.982 sec,3727.528 sec,12.546 sec
689,223428,223666,3727.528 sec,3731.498 sec,3.971 sec
690,223666,223771,3731.498 sec,3733.250 sec,1.752 sec
691,223771,225538,3733.250 sec,3762.729 sec,29.479 sec
692,225538,227388,3762.729 sec,3793.594 sec,30.864 sec
693,227388,229475,3793.594 sec,3828.412 sec,34.818 sec
694,229475,231475,3828.412 sec,3861.778 sec,33.367 sec
695,231475,233110,3861.778 sec,3889.056 sec,27.277 sec
696,233110,233400,3889.056 sec,3893.894 sec,4.838 sec
697,233400,234612,3893.894 sec,3914.114 sec,20.220 sec
698,234612,234742,3914.114 sec,3916.283 sec,2.169 sec
699,234742,250627,3916.283 sec,4181.298 sec,265.015 sec
700,250627,250914,4181.298 sec,4186.086 sec,4.788 sec
701,250914,251387,4186.086 sec,4193.977 sec,7.891 sec
702,251387,252087,4193.977 sec,4205.656 sec,11.678 sec
703,252087,252222,4205.656 sec,4207.908 sec,2.252 sec
704,252222,252484,4207.908 sec,4212.279 sec,4.371 sec
705,252484,256587,4212.279 sec,4280.731 sec,68.452 sec
706,256587,257027,4280.731 sec,4288.071 sec,7.341 sec
707,257027,257149,4288.071 sec,4290.107 sec,2.035 sec
708,257149,257174,4290.107 sec,4290.524 sec,0.417 sec
709,257174,257222,4290.524 sec,4291.325 sec,0.801 sec
710,257222,257244,4291.325 sec,4291.692 sec,0.367 sec
711,257244,257287,4291.692 sec,4292.409 sec,0.717 sec
712,257287,257324,4292.409 sec,4293.026 sec,0.617 sec
713,257324,257347,4293.026 sec,4293.410 sec,0.384 sec
714,257347,257362,4293.410 sec,4293.660 sec,0.250 sec
715,257362,257387,4293.660 sec,4294.077 sec,0.417 sec
716,257387,257434,4294.077 sec,4294.862 sec,0.784 sec
717,257434,257462,4294.862 sec,4295.329 sec,0.467 sec
718,257462,257697,4295.329 sec,4299.249 sec,3.921 sec
719,257697,258239,4299.249 sec,4308.292 sec,9.042 sec
720,258239,258457,4308.292 sec,4311.929 sec,3.637 sec
721,258457,258950,4311.929 sec,4320.153 sec,8.225 sec
722,258950,260720,4320.153 sec,4349.683 sec,29.530 sec
723,260720,260965,4349.683 sec,4353.770 sec,4.087 sec
724,260965,261332,4353.770 sec,4359.893 sec,6.123 sec
725,261332,261757,4359.893 sec,4366.984 sec,7.090 sec
726,261757,262002,4366.984 sec,4371.071 sec,4.087 sec
727,262002,262222,4371.071 sec,4374.741 sec,3.670 sec
728,262222,262512,4374.741 sec,4379.580 sec,4.838 sec
729,262512,262677,4379.580 sec,4382.332 sec,2.753 sec
730,262677,263390,4382.332 sec,4394.228 sec,11.895 sec
731,263390,263912,4394.228 sec,4402.936 sec,8.709 sec
732,263912,264322,4402.936 sec,4409.776 sec,6.840 sec
733,264322,264772,4409.776 sec,4417.284 sec,7.508 sec
734,264772,264955,4417.284 sec,4420.337 sec,3.053 sec
735,264955,265357,4420.337 sec,4427.044 sec,6.707 sec
736,265357,265432,4427.044 sec,4428.295 sec,1.251 sec
737,265432,265540,4428.295 sec,4430.097 sec,1.802 sec
738,265540,265757,4430.097 sec,4433.717 sec,3.620 sec
739,265757,265907,4433.717 sec,4436.220 sec,2.503 sec
740,265907,266040,4436.220 sec,4438.438 sec,2.219 sec
741,266040,266497,4438.438 sec,4446.063 sec,7.624 sec
742,266497,266980,4446.063 sec,4454.121 sec,8.058 sec
743,266980,267165,4454.121 sec,4457.207 sec,3.086 sec
744,267165,267702,4457.207 sec,4466.166 sec,8.959 sec
745,267702,267930,4466.166 sec,4469.970 sec,3.804 sec
746,267930,268067,4469.970 sec,4472.256 sec,2.286 sec
747,268067,268355,4472.256 sec,4477.060 sec,4.805 sec
748,268355,268487,4477.060 sec,4479.263 sec,2.202 sec
749,268487,268567,4479.263 sec,4480.597 sec,1.335 sec
750,268567,269160,4480.597 sec,4490.490 sec,9.893 sec
751,269160,269270,4490.490 sec,4492.326 sec,1.835 sec
752,269270,269380,4492.326 sec,4494.161 sec,1.835 sec
753,269380,269480,4494.161 sec,4495.829 sec,1.668 sec
754,269480,269710,4495.829 sec,4499.666 sec,3.837 sec
755,269710,269977,4499.666 sec,4504.121 sec,4.454 sec
756,269977,270252,4504.121 sec,4508.709 sec,4.588 sec
757,270252,270345,4508.709 sec,4510.260 sec,1.552 sec
758,270345,270450,4510.260 sec,4512.012 sec,1.752 sec
759,270450,270690,4512.012 sec,4516.016 sec,4.004 sec
760,270690,270762,4516.016 sec,4517.217 sec,1.201 sec
761,270762,270890,4517.217 sec,4519.353 sec,2.135 sec
762,270890,270972,4519.353 sec,4520.721 sec,1.368 sec
763,270972,271310,4520.721 sec,4526.360 sec,5.639 sec
